video_id,category_id,category_name
-WZc3q9VuKM,26,Howto & Style
-WlRjarqNuE,24,Entertainment
-WlY1BFip2c,22,People & Blogs
-Wx6npt421c,27,Education
-X6blkvHU0g,22,People & Blogs
-X98QQu9UoA,10,Music
-XDZNQNoLeo,10,Music
-XEHeDXvu80,17,Sports
-XPnUghHpM4,20,Gaming
-Xc2G1FwCFk,17,Sports
-XiNeLQX_xA,22,People & Blogs
-XqfK0PlrCQ,17,Sports
-Y2Mi2iAVMY,1,Film & Animation
-Y8rdML9fpI,28,Science & Technology
-YH9xASE2u0,1,Film & Animation
-YTgFUNwRKk,10,Music
-YVqPo4WOWQ,24,Entertainment
-YrK6IY-4-o,20,Gaming
-Ys4zp-cQOU,28,Science & Technology
-YuI0i23MNM,24,Entertainment
-YwcJ6N4wcM,17,Sports
-ZDZtBRTyeI,25,News & Politics
-ZK-U3Ofr1A,28,Science & Technology
-ZRoI1GMc5w,22,People & Blogs
-ZXevnfKf3g,1,Film & Animation
-ZZlZPKgeuk,20,Gaming
-Zeyodzl0qo,23,Comedy
-ZgaHS-s0m8,17,Sports
-ZmNQqIqcXs,1,Film & Animation
-ZmPjb5-u6Y,10,Music
-_GrdsnIge4,17,Sports
-_P_cD0yimw,10,Music
-_QbXK3_5Go,10,Music
-_attUbB6pw,24,Entertainment
-_oiMkBwoKU,22,People & Blogs
-a2HPrlXVv0,10,Music
-a4zH0kmPFo,24,Entertainment
-aCJtxibSpA,22,People & Blogs
-a_uyxDEuYk,28,Science & Technology
-ahAA08V1Pk,24,Entertainment
-arOcpTLySU,2,Autos & Vehicles
-asZD6FoPKI,23,Comedy
-asaSBqh5UA,22,People & Blogs
-awsIZBtwOs,17,Sports
-b6SR4PzvIk,22,People & Blogs
-b77ys1WLtU,17,Sports
-bCiD4QGSvQ,10,Music
-bRRaRjVxik,10,Music
-bSTyfB7p0k,17,Sports
-bZxO5Dn9x0,24,Entertainment
-bn7MLPFYrQ,17,Sports
-bx971P-qmo,24,Entertainment
-c-5yluoVaM,22,People & Blogs
-c6TMmsLCxg,10,Music
-cMabvbWgE0,17,Sports
-cUZPBgZFKU,17,Sports
-cVAHtiIo2w,2,Autos & Vehicles
-cYRsmEVtO8,26,Howto & Style
-cmRLge67qo,17,Sports
-d-L2qqVr5M,17,Sports
-d3RkW0Zmgc,22,People & Blogs
-d8nTfzxES8,26,Howto & Style
-dBcRSkQs9w,24,Entertainment
-dD_KWbgD0M,17,Sports
-dJPAsqyICQ,17,Sports
-dNvMYZkIvA,23,Comedy
-dYSABYeVsQ,20,Gaming
-d_0t62m1X8,20,Gaming
-dgD4LDGxrY,17,Sports
-diGaGNq0Ug,10,Music
-duSeRb8V5c,22,People & Blogs
-dxXYrQjUeA,10,Music
-dxgN1z8LDU,24,Entertainment
-dysUJuPVpY,17,Sports
-ektHiMoKxU,20,Gaming
-epUwnQyqxY,24,Entertainment
-eynCPJidOI,19,Travel & Events
-ezfi6FQ8Ds,24,Entertainment
-f0ISwe2a6o,20,Gaming
-f4P1L1VGFM,2,Autos & Vehicles
-f9C7imFnw8,24,Entertainment
-fBwhnhTIcE,24,Entertainment
-fKW_7NwngE,10,Music
-fVvYgvAvps,17,Sports
-fnrnBoxS0I,17,Sports
-frGk_VuO2U,10,Music
-fsLlWD7tBI,24,Entertainment
-fz_IPrVFU4,17,Sports
-g88odXOrHA,17,Sports
-g8K3TW0mWU,23,Comedy
-gBfn6LBh-E,24,Entertainment
-gHq76OENeo,17,Sports
-gNHreSSPxw,17,Sports
-gha-P0L3-k,24,Entertainment
-guGJ_v7rgg,17,Sports
-h3AFVSecXs,20,Gaming
-hAztPfxZEk,24,Entertainment
-hEWBmscI5g,10,Music
-hblVa9Ms1A,10,Music
-hoLr8hKfDY,1,Film & Animation
-hyed108bb0,27,Education
-i732Dnugvc,10,Music
-iBjyTUCdaA,22,People & Blogs
-iTYx8Ffj8o,24,Entertainment
-iVky7fz9ss,22,People & Blogs
-iVl0R9AbzY,17,Sports
