channel_id,subscriberCount,viewCount,videoCount
UCUK0HBIBWgM2c4vsPhkYY4w,15000000.0,2701490205.0,369.0
UC9VX0KXNH20x9MCH3xGjisg,7200000.0,2464691502.0,1107.0
UCnM02drQP-dF7WMgtJHR4Xw,7030000.0,1558961049.0,537.0
UC5T_PNyy-_3I5pustPMLIxQ,296000.0,2332231.0,13.0
UC6D1L2vxEAg_Vi0JSxMBDgA,26300000.0,19253818725.0,1727.0
UCddiUEpeqJcYeBxX1IVBKvQ,3490000.0,1122035767.0,5925.0
UC-GI5LST5T3Gw93yZxjdFaw,7620000.0,5820928428.0,377.0
UChVRfsT_ASBZk10o0An7Ucg,10600000.0,2197002242.0,333.0
UCPJJkwm48LGt7LC6tUZMWZQ,721000.0,80614945.0,164.0
UCSpFnDQr88xCZ80N-X7t0nQ,7040000.0,2382841110.0,1588.0
UCvExuGSwx1Yw30dDY8JEJ3w,613000.0,230168927.0,3293.0
UCMNmwqCtCSpftrbvR3KkHDA,16700000.0,9512323647.0,2373.0
UCjpzEgbbDUg4YC6vpSrzsyg,544000.0,459827570.0,75581.0
UCg40OxZ1GYh3u3jBntB6DLg,5470000.0,6986925559.0,163207.0
UCFanrVWRodCwCw43U7KBAQg,2420000.0,499774599.0,848.0
UClvow1RFSyeh5CRwRB_m5sA,3770000.0,918882566.0,3594.0
UC2t5bjwHdUX4vM2g8TRDq5g,16000000.0,9510613830.0,1687.0
UCKN9PT9mTOnUHqUnEE0gfyw,2490000.0,179572526.0,586.0
UCGuigYPukKFi5NUFIvVHOrw,379000.0,72620124.0,203.0
UCo3i0nUzZjjLuM7VjAVz4zA,10800000.0,3206357107.0,854.0
UCkUjSzthJUlO0uyUpiJfnxg,261000.0,101072512.0,3293.0
UCtihF1ZtlYVzoaj_bKLQZ-Q,5170000.0,944883516.0,260.0
UC-UQNye_z8EqecFJluZ1PxQ,365000.0,255382247.0,666.0
UCxjC_VVez3w8Uyh7LWPnkXA,332000.0,359310537.0,32182.0
UCZrNwndjBz4ujOLBWm51Fug,496000.0,1267504927.0,387.0
