video_id,category_id
-_oiMkBwoKU,22
-a2HPrlXVv0,10
-a4zH0kmPFo,24
-aCJtxibSpA,22
-a_uyxDEuYk,28
-ahAA08V1Pk,24
-arOcpTLySU,2
-asZD6FoPKI,23
-asaSBqh5UA,22
-awsIZBtwOs,17
-b6SR4PzvIk,22
-b77ys1WLtU,17
-bCiD4QGSvQ,10
-bRRaRjVxik,10
-bSTyfB7p0k,17
-bZxO5Dn9x0,24
-bn7MLPFYrQ,17
-bx971P-qmo,24
-c-5yluoVaM,22
-c6TMmsLCxg,10
-cMabvbWgE0,17
-cUZPBgZFKU,17
-cVAHtiIo2w,2
-cYRsmEVtO8,26
-cmRLge67qo,17
-d-L2qqVr5M,17
-d3RkW0Zmgc,22
-d8nTfzxES8,26
-dBcRSkQs9w,24
-dD_KWbgD0M,17
-dJPAsqyICQ,17
-dNvMYZkIvA,23
-dYSABYeVsQ,20
-d_0t62m1X8,20
-dgD4LDGxrY,17
-diGaGNq0Ug,10
-duSeRb8V5c,22
-dxXYrQjUeA,10
-dxgN1z8LDU,24
-dysUJuPVpY,17
-ektHiMoKxU,20
-epUwnQyqxY,24
-eynCPJidOI,19
-ezfi6FQ8Ds,24
-f0ISwe2a6o,20
-f4P1L1VGFM,2
-f9C7imFnw8,24
-fBwhnhTIcE,24
-fKW_7NwngE,10
-fVvYgvAvps,17
-fnrnBoxS0I,17
-frGk_VuO2U,10
-fsLlWD7tBI,24
-fz_IPrVFU4,17
-g88odXOrHA,17
-g8K3TW0mWU,23
-gBfn6LBh-E,24
-gHq76OENeo,17
-gNHreSSPxw,17
-gha-P0L3-k,24
-guGJ_v7rgg,17
-h3AFVSecXs,20
-hAztPfxZEk,24
-hEWBmscI5g,10
-hblVa9Ms1A,10
-hoLr8hKfDY,1
-hyed108bb0,27
-i732Dnugvc,10
-iBjyTUCdaA,22
-iTYx8Ffj8o,24
-iVky7fz9ss,22
-iVl0R9AbzY,17
-ikWACHd4wU,22
-iq9ake0fek,27
-isY3iRyF-8,24
-ismJsHdsJo,20
-izWqLYOY4s,17
-j-ndJtT9Mo,17
-j3FrJia-74,2
-j7aRXmdMWw,24
-jCVFMDhvPg,23
-jHLIl-1x-Y,22
-jSrpBVbtCs,26
-ja3t8adMCg,24
-jcfBsQrOg4,22
-jjvWrZC4nU,22
-jvUFIVdR-Y,10
-kCePEEBjvc,1
-kNnppCxEBo,24
-kUxOLZ71P0,20
-klADHdoOJM,17
-kpgoipjw4o,24
-kwhbjQXJOc,2
-lArEvBJcUk,22
-lSh1-JkqH0,10
-lUsPXvUfKA,20
-lYKZQI129c,22
-lZ-D_RqN1M,24
-lgDchfqk-Y,24
-lhCS6FF49w,24
-lkCsKXAxfo,19
-m4pQ8xK4w4,24
-mBxmS-e9s8,24
-me5oMfOBgc,2
-mf8ku_PnVM,24
-mkIU7S5j1U,23
-mukleOrEnY,24
-n-bXkxcKvE,25
-n61LGf1sfs,25
-n8IrFPSFCU,24
-nA6j3a10X8,10
-nIkZAc4qy0,10
-nMjtF14Inc,19
-nNiTn0_41g,24
-nOdSj0u29U,17
-nOv59o8usY,22
-navJLrLOEQ,27
-niJ23jAMQA,2
-njZXVQA5L4,23
-ntPYyrS09Q,24
-o23ORG5DWE,10
-o5jC2uBQZQ,10
-oHGafLPvEE,24
-oQZ_XzAWyI,17
-obKX-mqjXQ,24
-ooue7i73zo,2
-opYkQ9jXa0,24
-oqdmbI7ozk,26
-p6wfT-Qi58,23
-p7nJEaR6l4,20
-pLHhFpPNIM,24
-pSY-g9npOs,24
-pa3Ib8dlgk,22
-piQY7tiVK8,17
-pvTDf1Eq6M,10
-q6pIZD4ljU,1
-q8OPo7P2dM,10
-q93Wv0nJfE,17
-qErsAzvPMo,22
-qFJuTpqBLM,17
-qGGXDrlhXA,22
-qTzi90wuH8,17
-qdJ5emveQg,28
-qn_cTHvfOY,24
-r-wUeyPocI,24
-r0RRSreQwQ,24
-r5jmwTFb6M,20
-r9D7kb43NQ,10
-r9jEWsQkXs,24
-rFubUfAFgM,15
-rM-pkWiGr8,19
-rSGoP5iGZQ,23
-rTF88Cgmmk,20
-risbrFHbBU,17
-rkx-U8J0wc,15
-rn_R1aheK8,10
-ru6uqB2M1Q,1
-ryG_yoUFno,24
-s7M3-zyWmk,20
